"time","$STATESET1.x","$STATESET2.x","der($STATESET1.x)","der($STATESET2.x)","der(vx)","der(vy)","der(x)","der(y)","F","vx","vy","x","y","$STATESET1.A[1]","$STATESET1.A[2]","$STATESET2.A[1]","$STATESET2.A[2]"
0.946,-1.059088649677442,-0.05794884082733655,-9.414691878191924,-1.059088649677442,3.38785208735696,-9.414691878191924,0.1235786965123572,-1.059088649677442,3.410837181246905,0.1235786965123572,-1.059088649677442,-0.4966305788478676,-0.05794884082733655,1,0,0,1
0.948,-1.077888662368639,-0.06008581823124452,-9.384998552465646,-1.077888662368639,3.510990861544384,-9.384998552465646,0.1304771957127888,-1.077888662368639,3.536620287824871,0.1304771957127888,-1.077888662368639,-0.4963765651674965,-0.06008581823124452,1,0,0,1
0.95,-1.096627722038079,-0.06226033157805761,-9.353679943750727,-1.096627722038079,3.636091492981674,-9.353679943750727,0.1376239362433039,-1.096627722038079,3.664613122700545,0.1376239362433039,-1.096627722038079,-0.496108507397112,-0.06226033157805761,1,0,0,1
0.952,-1.115302493491101,-0.06447225776916117,-9.320680290351284,-1.115302493491101,3.763128455881345,-9.320680290351284,0.1450228177655285,-1.115302493491101,3.794808236751182,0.1450228177655285,-1.115302493491101,-0.4958259049083124,-0.06447225776916117,1,0,0,1
0.954,-1.133909557216737,-0.06672146528044605,-9.2859432074513,-1.133909557216737,3.892074971201538,-9.2859432074513,0.1526776873498588,-1.133909557216737,3.927197869126266,0.1526776873498588,-1.133909557216737,-0.4955282495184611,-0.06672146528044605,1,0,0,1
0.956,-1.152445378307307,-0.069007815865109,-9.24941171684695,-1.152445378307307,4.022902875304694,-9.24941171684695,0.1605923374434011,-1.152445378307307,4.061773844928254,0.1605923374434011,-1.152445378307307,-0.4952150253672916,-0.069007815865109,1,0,0,1
0.958,-1.170906304739184,-0.07133116436562563,-9.211028281157622,-1.170906304739184,4.155582575964279,-9.211028281157622,0.1687705030840988,-1.170906304739184,4.198527559232034,0.1687705030840988,-1.170906304739184,-0.4948857090179955,-0.07133116436562563,1,0,0,1
0.96,-1.18928856565355,-0.07369135852572331,-9.170734839755802,-1.18928856565355,4.290083007846214,-9.170734839755802,0.1772158590191931,-1.18928856565355,4.337449960439066,0.1772158590191931,-1.18928856565355,-0.4945397695621994,-0.07369135852572331,1,0,0,1
0.962,-1.20758828437064,-0.07608823709791844,-9.128472856230125,-1.20758828437064,4.426371625642005,-9.128472856230125,0.1859320147294945,-1.20758828437064,4.478531569162349,0.1859320147294945,-1.20758828437064,-0.494176668991294,-0.07608823709791844,1,0,0,1
0.964,-1.225801556225124,-0.07852162045225056,-9.084183412205309,-1.225801556225124,4.564414576235539,-9.084183412205309,0.1949225005732324,-1.225801556225124,4.621762666220473,0.1949225005732324,-1.225801556225124,-0.4937958638157601,-0.07852162045225056,1,0,0,1
0.966,-1.243924200219229,-0.08099133891925754,-9.037807085252439,-1.243924200219229,4.704176011972785,-9.037807085252439,0.2041907980159719,-1.243924200219229,4.767132665366731,0.2041907980159719,-1.243924200219229,-0.4933968007801287,-0.08099133891925754,1,0,0,1
0.968,-1.261951976056383,-0.08349720729562435,-8.989284135959897,-1.261951976056383,4.845618602819576,-8.989284135959897,0.2137403067182329,-1.261951976056383,4.91463062431738,0.2137403067182329,-1.261951976056383,-0.4929789208209936,-0.08349720729562435,1,0,0,1
